"Time","values"
2023-12-20 08:31:00,0%
2023-12-20 08:31:15,0.100%
2023-12-20 08:31:30,0.100%
2023-12-20 08:31:45,0%
2023-12-20 08:32:00,0.100%
2023-12-20 08:32:15,0%
2023-12-20 08:32:30,0.100%
2023-12-20 08:32:45,0%
2023-12-20 08:33:00,0%
2023-12-20 08:33:15,0%
2023-12-20 08:33:30,0.100%
2023-12-20 08:33:45,0%
2023-12-20 08:34:00,0%
2023-12-20 08:34:15,0%
2023-12-20 08:34:30,0%
2023-12-20 08:34:45,0%
2023-12-20 08:35:00,0%
2023-12-20 08:35:15,0%
2023-12-20 08:35:30,0%
2023-12-20 08:35:45,0%
2023-12-20 08:36:00,0%
2023-12-20 08:36:15,0%
2023-12-20 08:36:30,0%
2023-12-20 08:36:45,0%
2023-12-20 08:37:00,0%
2023-12-20 08:37:15,0%
2023-12-20 08:37:30,0%
2023-12-20 08:37:45,0%
2023-12-20 08:38:00,0%
2023-12-20 08:38:15,0%
2023-12-20 08:38:30,0%
2023-12-20 08:38:45,0%
2023-12-20 08:39:00,0%
2023-12-20 08:39:15,0%
2023-12-20 08:39:30,0%
2023-12-20 08:39:45,0%
2023-12-20 08:40:00,0%
2023-12-20 08:40:15,0%
2023-12-20 08:40:30,0%
2023-12-20 08:40:45,0%
2023-12-20 08:41:00,0%
2023-12-20 08:41:15,0%
2023-12-20 08:41:30,0%
2023-12-20 08:41:45,0%
2023-12-20 08:42:00,0%
2023-12-20 08:42:15,0%
2023-12-20 08:42:30,0%
2023-12-20 08:42:45,0%
2023-12-20 08:43:00,0.100%
2023-12-20 08:43:15,0%
2023-12-20 08:43:30,0%
2023-12-20 08:43:45,0%
2023-12-20 08:44:00,0.100%
2023-12-20 08:44:15,0%
2023-12-20 08:44:30,0%
2023-12-20 08:44:45,0%
2023-12-20 08:45:00,0%
2023-12-20 08:45:15,0%
2023-12-20 08:45:30,0%
2023-12-20 08:45:45,0.100%
2023-12-20 08:46:00,0%
2023-12-20 08:46:15,0%
2023-12-20 08:46:30,0%
2023-12-20 08:46:45,0%
2023-12-20 08:47:00,0.100%
2023-12-20 08:47:15,0%
2023-12-20 08:47:30,0%
2023-12-20 08:47:45,0%
2023-12-20 08:48:00,0%
2023-12-20 08:48:15,0%
2023-12-20 08:48:30,0%
2023-12-20 08:48:45,0%
2023-12-20 08:49:00,0%
2023-12-20 08:49:15,0%
2023-12-20 08:49:30,0%
2023-12-20 08:49:45,0%
2023-12-20 08:50:00,0%
2023-12-20 08:50:15,0.100%
2023-12-20 08:50:30,0%
2023-12-20 08:50:45,0%
2023-12-20 08:51:00,0%
2023-12-20 08:51:15,0%
2023-12-20 08:51:30,0%
2023-12-20 08:51:45,0%
2023-12-20 08:52:00,0%
2023-12-20 08:52:15,0%
2023-12-20 08:52:30,0%
2023-12-20 08:52:45,0%
2023-12-20 08:53:00,0%
2023-12-20 08:53:15,0%
2023-12-20 08:53:30,0%
2023-12-20 08:53:45,0%
