"Time","values"
2023-12-20 09:17:00,59.40 ms
2023-12-20 09:17:30,62.37 ms
2023-12-20 09:18:00,61.51 ms
2023-12-20 09:18:30,63.57 ms
2023-12-20 09:19:00,60.80 ms
2023-12-20 09:19:30,60.69 ms
2023-12-20 09:20:00,67.20 ms
2023-12-20 09:20:30,60.59 ms
2023-12-20 09:21:00,68.16 ms
2023-12-20 09:21:30,66.83 ms
2023-12-20 09:22:00,73.43 ms
2023-12-20 09:22:30,79.70 ms
2023-12-20 09:23:00,60.50 ms
2023-12-20 09:23:30,72.92 ms
2023-12-20 09:24:00,87.68 ms
2023-12-20 09:24:30,63.67 ms
2023-12-20 09:25:00,81.54 ms
2023-12-20 09:25:30,79.57 ms
2023-12-20 09:26:00,88.41 ms
2023-12-20 09:26:30,94.20 ms
2023-12-20 09:27:00,92.59 ms
2023-12-20 09:27:30,92.40 ms
2023-12-20 09:28:00,105.14 ms
2023-12-20 09:28:30,88.72 ms
2023-12-20 09:29:00,98.40 ms
2023-12-20 09:29:30,100.51 ms
2023-12-20 09:30:00,89.74 ms
2023-12-20 09:30:30,111.69 ms
2023-12-20 09:31:00,115.67 ms
2023-12-20 09:31:30,128.90 ms
2023-12-20 09:32:00,108.08 ms
2023-12-20 09:32:30,125.91 ms
2023-12-20 09:33:00,142.77 ms
2023-12-20 09:33:30,122.95 ms
2023-12-20 09:34:00,129.00 ms
2023-12-20 09:34:30,137.61 ms
2023-12-20 09:35:00,136.79 ms
2023-12-20 09:35:30,127.85 ms
2023-12-20 09:36:00,137.82 ms
2023-12-20 09:36:30,129.54 ms
2023-12-20 09:37:00,131.86 ms
2023-12-20 09:37:30,108.19 ms
2023-12-20 09:38:00,136.57 ms
2023-12-20 09:38:30,123.48 ms
2023-12-20 09:39:00,147.43 ms
2023-12-20 09:39:30,146.75 ms
2023-12-20 09:40:00,143.14 ms
2023-12-20 09:40:30,144.39 ms
2023-12-20 09:41:00,130.02 ms
2023-12-20 09:41:30,123.68 ms
2023-12-20 09:42:00,135.47 ms
2023-12-20 09:42:30,118.16 ms
2023-12-20 09:43:00,117.65 ms
2023-12-20 09:43:30,125.74 ms
2023-12-20 09:44:00,99.57 ms
2023-12-20 09:44:30,106.80 ms
2023-12-20 09:45:00,89.38 ms
2023-12-20 09:45:30,98.04 ms
2023-12-20 09:46:00,94.17 ms
2023-12-20 09:46:30,87.38 ms
2023-12-20 09:47:00,87.21 ms
2023-12-20 09:47:30,88.40 ms
2023-12-20 09:48:00,90.80 ms
2023-12-20 09:48:30,86.09 ms
2023-12-20 09:49:00,88.92 ms
2023-12-20 09:49:30,79.83 ms
2023-12-20 09:50:00,87.60 ms
2023-12-20 09:50:30,82.22 ms
2023-12-20 09:51:00,88.95 ms
2023-12-20 09:51:30,88.88 ms
2023-12-20 09:52:00,86.92 ms
2023-12-20 09:52:30,70.31 ms
2023-12-20 09:53:00,68.91 ms
2023-12-20 09:53:30,83.00 ms
2023-12-20 09:54:00,61.96 ms
2023-12-20 09:54:30,64.97 ms
2023-12-20 09:55:00,56.78 ms
2023-12-20 09:55:30,64.63 ms
2023-12-20 09:56:00,64.96 ms
2023-12-20 09:56:30,54.66 ms
2023-12-20 09:57:00,58.86 ms
2023-12-20 09:57:30,51.96 ms
2023-12-20 09:58:00,62.36 ms
2023-12-20 09:58:30,46.37 ms
2023-12-20 09:59:00,37.36 ms
2023-12-20 09:59:30,40.12 ms
2023-12-20 10:00:00,45.95 ms
2023-12-20 10:00:30,41.38 ms
2023-12-20 10:01:00,37.01 ms
2023-12-20 10:01:30,44.30 ms
2023-12-20 10:02:00,37.71 ms
2023-12-20 10:02:30,46.67 ms
2023-12-20 10:03:00,41.76 ms
2023-12-20 10:03:30,50.52 ms
2023-12-20 10:04:00,46.11 ms
2023-12-20 10:04:30,40.59 ms
2023-12-20 10:05:00,45.17 ms
2023-12-20 10:05:30,44.91 ms
2023-12-20 10:06:00,44.93 ms
2023-12-20 10:06:30,35.90 ms
2023-12-20 10:07:00,36.43 ms
2023-12-20 10:07:30,37.96 ms
2023-12-20 10:08:00,37.69 ms
2023-12-20 10:08:30,44.40 ms
2023-12-20 10:09:00,43.10 ms
2023-12-20 10:09:30,47.35 ms
2023-12-20 10:10:00,49.27 ms
