"Time","values"
2023-12-20 11:53:00,13.56 ms
2023-12-20 11:53:30,29.98 ms
2023-12-20 11:54:00,30.94 ms
2023-12-20 11:54:30,29.80 ms
2023-12-20 11:55:00,12.37 ms
2023-12-20 11:55:30,16.03 ms
2023-12-20 11:56:00,14.04 ms
2023-12-20 11:56:30,18.78 ms
2023-12-20 11:57:00,22.25 ms
2023-12-20 11:57:30,20.29 ms
2023-12-20 11:58:00,15.35 ms
2023-12-20 11:58:30,16.64 ms
2023-12-20 11:59:00,18.42 ms
2023-12-20 11:59:30,14.55 ms
2023-12-20 12:00:00,12.83 ms
2023-12-20 12:00:30,7.17 ms
2023-12-20 12:01:00,13.52 ms
2023-12-20 12:01:30,14.36 ms
2023-12-20 12:02:00,13.16 ms
2023-12-20 12:02:30,17.84 ms
2023-12-20 12:03:00,10.40 ms
2023-12-20 12:03:30,12.25 ms
2023-12-20 12:04:00,13.76 ms
2023-12-20 12:04:30,13.75 ms
2023-12-20 12:05:00,9.26 ms
2023-12-20 12:05:30,11.31 ms
2023-12-20 12:06:00,9.89 ms
2023-12-20 12:06:30,8.66 ms
2023-12-20 12:07:00,13.75 ms
2023-12-20 12:07:30,10.10 ms
2023-12-20 12:08:00,8.91 ms
2023-12-20 12:08:30,11.21 ms
2023-12-20 12:09:00,13.68 ms
2023-12-20 12:09:30,9.96 ms
2023-12-20 12:10:00,16.11 ms
2023-12-20 12:10:30,9.96 ms
2023-12-20 12:11:00,15.95 ms
2023-12-20 12:11:30,12.47 ms
2023-12-20 12:12:00,10.61 ms
2023-12-20 12:12:30,11.58 ms
2023-12-20 12:13:00,11.44 ms
2023-12-20 12:13:30,11.41 ms
2023-12-20 12:14:00,12.06 ms
2023-12-20 12:14:30,13.18 ms
2023-12-20 12:15:00,13.05 ms
2023-12-20 12:15:30,8.85 ms
2023-12-20 12:16:00,10.11 ms
2023-12-20 12:16:30,14.35 ms
2023-12-20 12:17:00,12.68 ms
2023-12-20 12:17:30,7.44 ms
2023-12-20 12:18:00,8.80 ms
2023-12-20 12:18:30,23.29 ms
2023-12-20 12:19:00,13.17 ms
2023-12-20 12:19:30,21.51 ms
2023-12-20 12:20:00,15.94 ms
