index,delay,jitter,loss,ssim
490,30ms,40ms,0.5%,0.884
491,30ms,40ms,1.0%,0.937
492,30ms,40ms,1.5%,0.936
493,30ms,40ms,2.0%,0.935
494,30ms,40ms,2.5%,0.826
495,30ms,40ms,3.0%,0.937
496,30ms,50ms,0.0%,0.997
497,30ms,50ms,0.5%,0.983
498,30ms,50ms,1.0%,0.936
499,30ms,50ms,1.5%,0.974
500,30ms,50ms,2.0%,0.867
501,30ms,50ms,2.5%,0.935
502,30ms,50ms,3.0%,0.966
503,30ms,60ms,0.0%,0.937
504,30ms,60ms,0.5%,0.935
505,30ms,60ms,1.0%,0.935
506,30ms,60ms,1.5%,0.888
507,30ms,60ms,2.0%,0.902
508,30ms,60ms,2.5%,0.911
509,30ms,60ms,3.0%,0.822
510,30ms,70ms,0.0%,0.938
511,30ms,70ms,0.5%,0.936
512,30ms,70ms,1.0%,0.898
513,30ms,70ms,1.5%,0.866
514,30ms,70ms,2.0%,0.904
515,30ms,70ms,2.5%,0.913
516,30ms,70ms,3.0%,0.901
517,30ms,80ms,0.0%,0.995
518,30ms,80ms,0.5%,0.79
519,30ms,80ms,1.0%,0.932
520,30ms,80ms,1.5%,0.936
521,30ms,80ms,2.0%,0.903
522,30ms,80ms,2.5%,0.968
523,30ms,80ms,3.0%,0.757
524,30ms,90ms,0.0%,0.841
525,30ms,90ms,0.5%,0.867
526,30ms,90ms,1.0%,0.773
527,30ms,90ms,1.5%,0.84
528,30ms,90ms,2.0%,0.921
529,30ms,90ms,2.5%,0.941
530,30ms,90ms,3.0%,0.879
531,30ms,100ms,0.0%,0.865
532,30ms,100ms,0.5%,0.807
533,30ms,100ms,1.0%,0.89
534,30ms,100ms,1.5%,0.851
535,30ms,100ms,2.0%,0.954
536,30ms,100ms,2.5%,0.824
537,30ms,100ms,3.0%,0.88
538,30ms,110ms,0.0%,0.932
539,30ms,110ms,0.5%,0.838
540,30ms,110ms,1.0%,0.803
541,30ms,110ms,1.5%,0.889
542,30ms,110ms,2.0%,0.698
543,30ms,110ms,2.5%,0.932
544,30ms,110ms,3.0%,0.861
545,30ms,120ms,0.0%,0.938
546,30ms,120ms,0.5%,0.768
547,30ms,120ms,1.0%,0.842
548,30ms,120ms,1.5%,0.775
549,30ms,120ms,2.0%,0.689
550,30ms,120ms,2.5%,0.763
551,30ms,120ms,3.0%,0.729
552,30ms,130ms,0.0%,0.891
553,30ms,130ms,0.5%,0.752
554,30ms,130ms,1.0%,0.775
555,30ms,130ms,1.5%,0.827
556,30ms,130ms,2.0%,0.704
557,30ms,130ms,2.5%,0.773
558,30ms,130ms,3.0%,0.813
559,30ms,140ms,0.0%,0.698
560,30ms,140ms,0.5%,0.708
561,30ms,140ms,1.0%,0.87
562,30ms,140ms,1.5%,0.688
563,30ms,140ms,2.0%,0.754
564,30ms,140ms,2.5%,0.76
565,30ms,140ms,3.0%,0.709
566,30ms,150ms,0.0%,0.878
567,30ms,150ms,0.5%,0.874
568,30ms,150ms,1.0%,0.906
569,30ms,150ms,1.5%,0.757
570,30ms,150ms,2.5%,0.778
571,30ms,150ms,3.0%,0.824
572,30ms,160ms,0.0%,0.853
573,30ms,160ms,0.5%,0.678
574,30ms,160ms,1.0%,0.818
575,30ms,160ms,1.5%,0.763
576,30ms,160ms,2.0%,0.795
577,30ms,160ms,2.5%,0.765
578,30ms,160ms,3.0%,0.775
579,30ms,170ms,0.0%,0.766
580,30ms,170ms,0.5%,0.686
581,30ms,170ms,1.0%,0.746
582,30ms,170ms,1.5%,0.692
583,30ms,170ms,2.0%,0.64
584,30ms,170ms,2.5%,0.765
585,30ms,170ms,3.0%,0.684
586,30ms,180ms,0.0%,0.71
587,30ms,180ms,0.5%,0.763
588,30ms,180ms,1.0%,0.822
589,30ms,180ms,1.5%,0.656
590,30ms,180ms,2.0%,0.727
591,30ms,180ms,2.5%,0.677
592,30ms,180ms,3.0%,0.76
593,30ms,190ms,0.0%,0.716
594,30ms,190ms,0.5%,0.782
595,30ms,190ms,1.0%,0.743
596,30ms,190ms,1.5%,0.779
597,30ms,190ms,2.0%,0.678
598,30ms,190ms,2.5%,0.688
599,30ms,190ms,3.0%,0.843
600,30ms,200ms,0.0%,0.754
601,30ms,200ms,0.5%,0.757
602,30ms,200ms,1.0%,0.681
603,30ms,200ms,1.5%,0.692
604,30ms,200ms,2.0%,0.616
605,30ms,200ms,2.5%,0.674
606,30ms,200ms,3.0%,0.877
607,40ms,0ms,0.0%,0.969
608,40ms,0ms,0.5%,0.932
609,40ms,0ms,1.0%,0.966
610,40ms,0ms,1.5%,0.987
611,40ms,0ms,2.0%,0.944
612,40ms,0ms,2.5%,0.943
613,40ms,0ms,3.0%,0.968
614,40ms,10ms,0.0%,0.944
615,40ms,10ms,0.5%,0.97
616,40ms,10ms,1.0%,0.935
617,40ms,10ms,1.5%,0.945
618,40ms,10ms,2.0%,0.944
619,40ms,10ms,2.5%,0.726
620,40ms,10ms,3.0%,0.946
621,40ms,20ms,0.0%,0.937
622,40ms,20ms,0.5%,0.892
623,40ms,20ms,1.0%,0.937
624,40ms,20ms,1.5%,0.878
625,40ms,20ms,2.0%,0.934
626,40ms,20ms,2.5%,0.881
627,40ms,20ms,3.0%,0.931
628,40ms,30ms,0.0%,0.95
629,40ms,30ms,0.5%,0.937
630,40ms,30ms,1.0%,0.937
631,40ms,30ms,1.5%,0.936
632,40ms,30ms,2.0%,0.921
633,40ms,30ms,2.5%,0.861
634,40ms,30ms,3.0%,0.938
635,40ms,40ms,0.0%,0.944
636,40ms,40ms,0.5%,0.937
637,40ms,40ms,1.0%,0.943
638,40ms,40ms,1.5%,0.937
639,40ms,40ms,2.0%,0.984
640,40ms,40ms,2.5%,0.916
641,40ms,40ms,3.0%,0.943
642,40ms,50ms,0.0%,0.945
643,40ms,50ms,0.5%,0.972
644,40ms,50ms,1.0%,0.944
645,40ms,50ms,1.5%,0.942
646,40ms,50ms,2.0%,0.835
647,40ms,50ms,2.5%,0.933
648,40ms,50ms,3.0%,0.907
649,40ms,60ms,0.0%,0.997
650,40ms,60ms,0.5%,0.945
651,40ms,60ms,1.0%,0.967
652,40ms,60ms,1.5%,0.946
653,40ms,60ms,2.0%,0.887
654,40ms,60ms,2.5%,0.936
655,40ms,60ms,3.0%,0.895
656,40ms,70ms,0.0%,0.936
657,40ms,70ms,0.5%,0.99
658,40ms,70ms,1.0%,0.83
659,40ms,70ms,1.5%,0.925
660,40ms,70ms,2.0%,0.922
661,40ms,70ms,2.5%,0.88
662,40ms,70ms,3.0%,0.927
663,40ms,80ms,0.0%,0.866
664,40ms,80ms,0.5%,0.944
665,40ms,80ms,1.0%,0.76
666,40ms,80ms,1.5%,0.936
667,40ms,80ms,2.0%,0.713
668,40ms,80ms,2.5%,0.918
669,40ms,80ms,3.0%,0.752
670,40ms,90ms,0.0%,0.804
671,40ms,90ms,0.5%,0.742
672,40ms,90ms,1.0%,0.84
673,40ms,90ms,1.5%,0.767
674,40ms,90ms,2.0%,0.684
675,40ms,90ms,2.5%,0.809
676,40ms,90ms,3.0%,0.908
677,40ms,100ms,0.0%,0.936
678,40ms,100ms,0.5%,0.941
679,40ms,100ms,1.0%,0.874
680,40ms,100ms,1.5%,0.681
681,40ms,100ms,2.0%,0.928
682,40ms,100ms,2.5%,0.911
683,40ms,100ms,3.0%,0.903
684,40ms,110ms,0.0%,0.803
685,40ms,110ms,0.5%,0.82
686,40ms,110ms,1.0%,0.897
687,40ms,110ms,1.5%,0.929
688,40ms,110ms,2.0%,0.801
689,40ms,110ms,2.5%,0.857
690,40ms,110ms,3.0%,0.738
691,40ms,120ms,0.0%,0.677
692,40ms,120ms,0.5%,0.861
693,40ms,120ms,1.0%,0.707
694,40ms,120ms,1.5%,0.695
695,40ms,120ms,2.0%,0.782
696,40ms,120ms,2.5%,0.731
697,40ms,120ms,3.0%,0.711
698,40ms,130ms,0.0%,0.678
699,40ms,130ms,0.5%,0.674
700,40ms,130ms,1.0%,0.835
701,40ms,130ms,1.5%,0.711
702,40ms,130ms,2.0%,0.7
703,40ms,130ms,2.5%,0.605
704,40ms,130ms,3.0%,0.868
705,40ms,140ms,0.0%,0.736
706,40ms,140ms,0.5%,0.845
707,40ms,140ms,1.0%,0.704
708,40ms,140ms,1.5%,0.714
709,40ms,140ms,2.0%,0.676
710,40ms,140ms,2.5%,0.752
711,40ms,140ms,3.0%,0.916
712,40ms,150ms,0.0%,0.691
713,40ms,150ms,0.5%,0.772
714,40ms,150ms,1.0%,0.86
715,40ms,150ms,1.5%,0.777
716,40ms,150ms,2.0%,0.727
717,40ms,150ms,2.5%,0.66
718,40ms,150ms,3.0%,0.879
719,40ms,160ms,0.0%,0.748
720,40ms,160ms,0.5%,0.674
721,40ms,160ms,1.0%,0.748
722,40ms,160ms,1.5%,0.713
723,40ms,160ms,2.0%,0.698
724,40ms,160ms,2.5%,0.85
725,40ms,160ms,3.0%,0.742
726,40ms,170ms,0.0%,0.712
727,40ms,170ms,0.5%,0.89
728,40ms,170ms,1.0%,0.716
729,40ms,170ms,1.5%,0.695
730,40ms,170ms,2.0%,0.687
731,40ms,170ms,2.5%,0.688
